profile,context,contrast,claim,left,right,kind,metric,componentRole,difference,lower,upper,monteCarloSE,runs,bootstrapReplicates
frozen-generator,baseline,emergency-base,emergency,reasoned-emergency-review,current-federal-court,base,emergencyReasonGivingRate,registered-component,0.8442677348759786,0.8147472726334419,0.8724891628468415,0.01484532124262679,120,2000
frozen-generator,baseline,emergency-base,emergency,reasoned-emergency-review,current-federal-court,base,meritsFollowUpRate,registered-component,0.9916666666666667,0.975,1.0,0.008333333333333333,120,2000
frozen-generator,baseline,emergency-base,emergency,reasoned-emergency-review,current-federal-court,base,averageTimeToReview,registered-component,0.0,0.0,0.0,0.0,120,2000
frozen-generator,baseline,emergency-base,emergency,reasoned-emergency-review,current-federal-court,base,totalInstitutionalCost,registered-component,0.009802037000512005,0.009652930150758573,0.009955134945094925,7.733187779884247e-05,120,2000
frozen-generator,baseline,emergency-base,emergency,reasoned-emergency-review,current-federal-court,base,shadowDocketAbuse,registered-component,-0.319899582904667,-0.3275986258417851,-0.3120434496254305,0.004025365171007946,120,2000
frozen-generator,baseline,emergency-base,emergency,reasoned-emergency-review,current-federal-court,base,institutionalDelayCost,additional-diagnostic,0.008197389435612644,0.007993205723671022,0.008390383353262004,0.0001011731273333939,120,2000
frozen-generator,baseline,screening-base,screening,constitutional-council,current-federal-court,base,directCourtCost,registered-diagnostic,0.13598025,0.1358543160416667,0.13610876833333335,6.233981247876568e-05,120,2000
frozen-generator,baseline,screening-base,screening,constitutional-council,current-federal-court,base,upstreamScreeningCost,registered-component,0.0019197543415610612,0.001847188952656882,0.001985566647531532,3.531327518212097e-05,120,2000
frozen-generator,baseline,screening-base,screening,constitutional-council,current-federal-court,base,capacityStrainCost,registered-diagnostic,0.0643284362277074,0.06368846199685485,0.06502810643527208,0.00033986153596955477,120,2000
frozen-generator,baseline,screening-base,screening,constitutional-council,current-federal-court,base,totalInstitutionalCost,registered-diagnostic,0.0830670113885106,0.08293128682196399,0.08321643239743019,7.158267894127602e-05,120,2000
frozen-generator,baseline,screening-base,screening,constitutional-council,current-federal-court,base,intakeAcceptanceRate,registered-diagnostic,-0.0007226355751680603,-0.00074835469944203,-0.0006945247794993305,1.3698446297837908e-05,120,2000
frozen-generator,baseline,screening-base,screening,constitutional-council,current-federal-court,base,councilScreenRate,registered-component,1.0,1.0,1.0,0.0,120,2000
frozen-generator,baseline,screening-base,screening,constitutional-council,current-federal-court,base,administrativeLoad,additional-diagnostic,0.2481075000000001,0.24717242708333345,0.24913253645833341,0.0004959116290605995,120,2000
frozen-generator,baseline,weak-form-base,weak-form,weak-form-review,current-federal-court,base,legislativeResponseRate,registered-component,0.31958333333333333,0.30947656250000005,0.3290651041666666,0.004989777130994276,120,2000
frozen-generator,baseline,weak-form-base,weak-form,weak-form-review,current-federal-court,base,legislativeResponseCredibility,registered-component,0.06456458333333323,0.06309354166666657,0.06600911458333321,0.0007503634497124246,120,2000
frozen-generator,baseline,weak-form-base,weak-form,weak-form-review,current-federal-court,base,timelyLegislativeResponseRate,registered-component,0.060816451995616964,0.051014886680982176,0.07129502505000694,0.005327491167748749,120,2000
frozen-generator,baseline,weak-form-base,weak-form,weak-form-review,current-federal-court,base,rightsProtection,registered-component,0.02462394950572732,0.022776558393288425,0.026466375997690996,0.0009402737639890361,120,2000
frozen-generator,baseline,weak-form-base,weak-form,weak-form-review,current-federal-court,base,complianceRate,registered-component,0.3752083333333333,0.35916406250000005,0.39239583333333333,0.008150994473131917,120,2000
frozen-generator,baseline,weak-form-base,weak-form,weak-form-review,current-federal-court,base,democraticResponsiveness,registered-component,0.08230268678187012,0.07979145003192883,0.08474504504511174,0.0013000860043527382,120,2000
