profile,context,directOnlyDifference,directOnlyLower,directOnlyUpper,directOnlyMonteCarloSE,directOnlyRuns,directOnlyBootstrapReplicates,fullAccountingDifference,fullAccountingLower,fullAccountingUpper,fullAccountingMonteCarloSE,fullAccountingRuns,fullAccountingBootstrapReplicates,fullMinusDirectContrastDifference,fullMinusDirectContrastLower,fullMinusDirectContrastUpper,fullMinusDirectContrastMonteCarloSE,fullMinusDirectContrastRuns,fullMinusDirectContrastBootstrapReplicates,practicalSignChange
frozen-generator,baseline,0.13598025,0.1358543160416667,0.13610876833333335,6.233981247876568e-05,120,2000,0.0830670113885106,0.08293128682196399,0.08321643239743019,7.158267894127602e-05,120,2000,-0.05291323861148942,-0.0529928222037944,-0.05283022646548285,4.063864413897531e-05,120,2000,False
frozen-generator,emergencyPressure-low,0.1375280666666667,0.13741691250000004,0.13763779270833337,5.781674024750884e-05,120,2000,0.08602351907989862,0.08593673335511337,0.08610720989351894,4.437469871380614e-05,120,2000,-0.051504547586768076,-0.05156756751117745,-0.05143920277173009,3.379861744769387e-05,120,2000,False
frozen-generator,emergencyPressure-high,0.13707334166666665,0.13696353541666667,0.13718964270833334,6.0789961779870145e-05,120,2000,0.08498877586396354,0.08487471296803384,0.08510335514223392,5.8553196465133055e-05,120,2000,-0.052084565802703126,-0.05215754541269188,-0.052011120831231966,3.8435048065927134e-05,120,2000,False
frozen-generator,rightsThreatRate-low,0.13592264166666668,0.135804115625,0.13604124166666667,6.166085633445257e-05,120,2000,0.0830274259639494,0.08288539458354843,0.0831840618206226,7.475278458672474e-05,120,2000,-0.052895215702717276,-0.05296863201802744,-0.052814167623104605,3.82266988189797e-05,120,2000,False
frozen-generator,rightsThreatRate-high,0.1358423916666667,0.13572835791666668,0.13596196854166667,6.1708454872715e-05,120,2000,0.08282811631658366,0.08269512800688006,0.0829632142452561,7.133090816634487e-05,120,2000,-0.05301427535008304,-0.05309331270416173,-0.05293223990012678,4.195306834095469e-05,120,2000,False
frozen-generator,appointmentPolarization-low,0.13589419166666666,0.13577475437500003,0.13601888458333333,6.399574050933598e-05,120,2000,0.08286383775547065,0.0827192246302585,0.08301203567770074,7.509050673936773e-05,120,2000,-0.05303035391119604,-0.05311524662517357,-0.052948885117269244,4.3651672525372136e-05,120,2000,False
frozen-generator,appointmentPolarization-high,0.1359235166666667,0.13579789333333334,0.1360498933333334,6.787700008488097e-05,120,2000,0.08297561772172833,0.08284417262145904,0.0831127359776253,7.111442353312686e-05,120,2000,-0.05294789894493836,-0.0530294762313285,-0.05286792435479287,4.119531046082584e-05,120,2000,False
frozen-generator,legislativeConflict-low,0.13582890833333336,0.135704799375,0.13596067666666667,6.724184662687526e-05,120,2000,0.08293815471618922,0.08278686085401536,0.08309017809674776,7.900205754585973e-05,120,2000,-0.05289075361714412,-0.05297357090043628,-0.05280731189960315,4.087073280906626e-05,120,2000,False
frozen-generator,legislativeConflict-high,0.13593930000000004,0.13581268250000003,0.1360676027083334,6.647198816105948e-05,120,2000,0.08301379509536577,0.08285555302421303,0.08317432463952644,8.275527205252592e-05,120,2000,-0.05292550490463426,-0.05300682035978406,-0.052842725793303,4.11851188396985e-05,120,2000,False
frozen-generator,implementationCapacity-low,0.13588756666666668,0.1357458204166667,0.1360278675,6.850242561831654e-05,120,2000,0.08290084429074733,0.08272644357500755,0.08307159329806053,8.743139033039099e-05,120,2000,-0.05298672237591935,-0.05307657050011424,-0.05289305374809031,4.510871937132494e-05,120,2000,False
