profile,context,left,right,weightDraws,positiveDraws,negativeDraws,tiedDraws,differenceMin,differenceMax,reversesAcrossWeights
frozen-generator,baseline,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.19270733153394115,-0.011051575544059888,False
frozen-generator,baseline,current-federal-court,constitutional-council,1000,122,878,0,-0.1915335422915685,0.06991530987064659,True
frozen-generator,baseline,current-federal-court,weak-form-review,1000,0,1000,0,-0.2667439816834076,-0.05790017187066465,False
frozen-generator,baseline,reasoned-emergency-review,constitutional-council,1000,933,67,0,-0.03189245121848261,0.13954898343423733,True
frozen-generator,baseline,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.1441084770941118,0.006980999133732735,True
frozen-generator,baseline,constitutional-council,weak-form-review,1000,0,1000,0,-0.25850233922894345,-0.018747477515874245,False
frozen-generator,emergencyPressure-low,current-federal-court,reasoned-emergency-review,1000,1,999,0,-0.08774791137636628,0.0021866571730791984,True
frozen-generator,emergencyPressure-low,current-federal-court,constitutional-council,1000,407,593,0,-0.11147536750132947,0.10809528076077046,True
frozen-generator,emergencyPressure-low,current-federal-court,weak-form-review,1000,0,1000,0,-0.2195774814700433,-0.03677689352931013,False
frozen-generator,emergencyPressure-low,reasoned-emergency-review,constitutional-council,1000,862,138,0,-0.03650908962772781,0.1303170392368347,True
frozen-generator,emergencyPressure-low,reasoned-emergency-review,weak-form-review,1000,0,1000,0,-0.1558517356452428,-0.018077873617931117,False
frozen-generator,emergencyPressure-low,constitutional-council,weak-form-review,1000,0,1000,0,-0.2622908713719351,-0.02126837175860441,False
frozen-generator,emergencyPressure-high,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.46443018582009943,-0.024743225799971014,False
frozen-generator,emergencyPressure-high,current-federal-court,constitutional-council,1000,69,931,0,-0.26903353677908914,0.07364292913223924,True
frozen-generator,emergencyPressure-high,current-federal-court,weak-form-review,1000,0,1000,0,-0.3448579540178984,-0.06310942303299416,False
frozen-generator,emergencyPressure-high,reasoned-emergency-review,constitutional-council,1000,1000,0,0,0.032013671924314924,0.22145958833088486,False
frozen-generator,emergencyPressure-high,reasoned-emergency-review,weak-form-review,1000,613,387,0,-0.09587737108580374,0.142600484583844,True
frozen-generator,emergencyPressure-high,constitutional-council,weak-form-review,1000,0,1000,0,-0.23590295042711312,-0.012733713983146933,False
frozen-generator,rightsThreatRate-low,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.22404059340587512,-0.011952984582613957,False
frozen-generator,rightsThreatRate-low,current-federal-court,constitutional-council,1000,128,872,0,-0.19973153257764342,0.07237628824862885,True
frozen-generator,rightsThreatRate-low,current-federal-court,weak-form-review,1000,0,1000,0,-0.2528516326306385,-0.05486813738243235,False
frozen-generator,rightsThreatRate-low,reasoned-emergency-review,constitutional-council,1000,998,2,0,-0.00339181037317704,0.1412629507183717,True
frozen-generator,rightsThreatRate-low,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.13019332354566315,0.007896882355085788,True
frozen-generator,rightsThreatRate-low,constitutional-council,weak-form-review,1000,0,1000,0,-0.24467900969326922,-0.016591713648732687,False
frozen-generator,rightsThreatRate-high,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.20906264417789988,-0.011524180070935919,False
frozen-generator,rightsThreatRate-high,current-federal-court,constitutional-council,1000,163,837,0,-0.15918122098288223,0.0786228155483818,True
frozen-generator,rightsThreatRate-high,current-federal-court,weak-form-review,1000,0,1000,0,-0.28790528564616114,-0.0637094705587663,False
frozen-generator,rightsThreatRate-high,reasoned-emergency-review,constitutional-council,1000,983,17,0,-0.017664486932067458,0.14194272175099693,True
frozen-generator,rightsThreatRate-high,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.1726197993952252,0.007056656952078577,True
frozen-generator,rightsThreatRate-high,constitutional-council,weak-form-review,1000,0,1000,0,-0.29162540243514,-0.024076549294741456,False
frozen-generator,appointmentPolarization-low,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.1993950935768557,-0.01181113767999964,False
frozen-generator,appointmentPolarization-low,current-federal-court,constitutional-council,1000,111,889,0,-0.20127502655639984,0.06837925193860789,True
frozen-generator,appointmentPolarization-low,current-federal-court,weak-form-review,1000,0,1000,0,-0.27358103424952207,-0.05870138134319858,False
frozen-generator,appointmentPolarization-low,reasoned-emergency-review,constitutional-council,1000,949,51,0,-0.025535993473292384,0.1399142511612838,True
frozen-generator,appointmentPolarization-low,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.1429763268625588,0.007469724308210135,True
frozen-generator,appointmentPolarization-low,constitutional-council,weak-form-review,1000,0,1000,0,-0.25765563294153954,-0.018859426261900736,False
frozen-generator,appointmentPolarization-high,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.19647100495764902,-0.011308185595690246,False
frozen-generator,appointmentPolarization-high,current-federal-court,constitutional-council,1000,121,879,0,-0.18122654654952086,0.06799482357073822,True
frozen-generator,appointmentPolarization-high,current-federal-court,weak-form-review,1000,0,1000,0,-0.27018087009716596,-0.05915222932895792,False
frozen-generator,appointmentPolarization-high,reasoned-emergency-review,constitutional-council,1000,934,66,0,-0.027964279379684598,0.1388188511392348,True
frozen-generator,appointmentPolarization-high,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.14617729384618416,0.006645372578356734,True
frozen-generator,appointmentPolarization-high,constitutional-council,weak-form-review,1000,0,1000,0,-0.26173021280302444,-0.018926539763285066,False
frozen-generator,legislativeConflict-low,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.2151323162737393,-0.01246644375006345,False
frozen-generator,legislativeConflict-low,current-federal-court,constitutional-council,1000,119,881,0,-0.19077162106285306,0.06881156181589321,True
frozen-generator,legislativeConflict-low,current-federal-court,weak-form-review,1000,0,1000,0,-0.2542384918924937,-0.05644479235261923,False
frozen-generator,legislativeConflict-low,reasoned-emergency-review,constitutional-council,1000,992,8,0,-0.005799318230361505,0.13994724098499522,True
frozen-generator,legislativeConflict-low,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.1383724414209796,0.007333947691171905,True
frozen-generator,legislativeConflict-low,constitutional-council,weak-form-review,1000,0,1000,0,-0.2527267041919818,-0.016517429040235787,False
frozen-generator,legislativeConflict-high,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.18880271341451715,-0.009765390094390591,False
frozen-generator,legislativeConflict-high,current-federal-court,constitutional-council,1000,194,806,0,-0.14468172978654792,0.08470356613862662,True
frozen-generator,legislativeConflict-high,current-federal-court,weak-form-review,1000,0,1000,0,-0.25928442679132435,-0.057196986085877644,False
frozen-generator,legislativeConflict-high,reasoned-emergency-review,constitutional-council,1000,992,8,0,-0.009163601527141685,0.13982430958096492,True
frozen-generator,legislativeConflict-high,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.14603746435473008,0.0069541095665088815,True
frozen-generator,legislativeConflict-high,constitutional-council,weak-form-review,1000,0,1000,0,-0.2692937110397499,-0.020459010042423675,False
frozen-generator,implementationCapacity-low,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.19229416036581004,-0.010648601868935903,False
frozen-generator,implementationCapacity-low,current-federal-court,constitutional-council,1000,130,870,0,-0.17240272696289916,0.06899237855708806,True
frozen-generator,implementationCapacity-low,current-federal-court,weak-form-review,1000,0,1000,0,-0.25793834544268335,-0.057688851366079374,False
frozen-generator,implementationCapacity-low,reasoned-emergency-review,constitutional-council,1000,940,60,0,-0.026824933132319373,0.1390086521707954,True
frozen-generator,implementationCapacity-low,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.14400483454563573,0.0072499393723812755,True
frozen-generator,implementationCapacity-low,constitutional-council,weak-form-review,1000,0,1000,0,-0.25987567292773067,-0.017334157603053124,False
frozen-generator,implementationCapacity-high,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.20005362745873034,-0.011882465003243303,False
frozen-generator,implementationCapacity-high,current-federal-court,constitutional-council,1000,114,886,0,-0.19689874064884738,0.06799941169071871,True
frozen-generator,implementationCapacity-high,current-federal-court,weak-form-review,1000,0,1000,0,-0.27402414184566215,-0.059125425769524176,False
frozen-generator,implementationCapacity-high,reasoned-emergency-review,constitutional-council,1000,945,55,0,-0.025974610738418225,0.1395655660910658,True
frozen-generator,implementationCapacity-high,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.14390228191224363,0.0074916251709639115,True
frozen-generator,implementationCapacity-high,constitutional-council,weak-form-review,1000,0,1000,0,-0.25875204274292174,-0.01962179716320278,False
frozen-generator,partyFragmentation-low,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.19377880410401926,-0.01121085463280036,False
frozen-generator,partyFragmentation-low,current-federal-court,constitutional-council,1000,124,876,0,-0.18643165368316528,0.06926276389768105,True
frozen-generator,partyFragmentation-low,current-federal-court,weak-form-review,1000,0,1000,0,-0.26527913933463354,-0.05823417045540802,False
frozen-generator,partyFragmentation-low,reasoned-emergency-review,constitutional-council,1000,953,47,0,-0.021153014784386803,0.13882795691939098,True
frozen-generator,partyFragmentation-low,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.14318607662967708,0.005213021308155263,True
frozen-generator,partyFragmentation-low,constitutional-council,weak-form-review,1000,0,1000,0,-0.25824666723519885,-0.019945920048348387,False
frozen-generator,partyFragmentation-high,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.19268958619210275,-0.010901575696781296,False
frozen-generator,partyFragmentation-high,current-federal-court,constitutional-council,1000,123,877,0,-0.189737274785991,0.06885631171215817,True
frozen-generator,partyFragmentation-high,current-federal-court,weak-form-review,1000,0,1000,0,-0.26061004908936714,-0.05785358696147613,False
frozen-generator,partyFragmentation-high,reasoned-emergency-review,constitutional-council,1000,930,70,0,-0.03035930689543731,0.1386269053818115,True
frozen-generator,partyFragmentation-high,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.14338425556019985,0.006230118474441437,True
frozen-generator,partyFragmentation-high,constitutional-council,weak-form-review,1000,0,1000,0,-0.2567497968921715,-0.017073769789267,False
recency-weighted-15y,baseline,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.19633679870099274,-0.011626637683600727,False
recency-weighted-15y,baseline,current-federal-court,constitutional-council,1000,112,888,0,-0.2020204387384369,0.06919988321749482,True
recency-weighted-15y,baseline,current-federal-court,weak-form-review,1000,0,1000,0,-0.26556750394667505,-0.05768585003051052,False
recency-weighted-15y,baseline,reasoned-emergency-review,constitutional-council,1000,941,59,0,-0.027029840793196813,0.1395068434696547,True
recency-weighted-15y,baseline,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.14161578715555634,0.007941096575250661,True
recency-weighted-15y,baseline,constitutional-council,weak-form-review,1000,0,1000,0,-0.25510581774625013,-0.0171029148578683,False
recency-weighted-15y,emergencyPressure-low,current-federal-court,reasoned-emergency-review,1000,1,999,0,-0.08159373955993499,0.0021695352592300265,True
recency-weighted-15y,emergencyPressure-low,current-federal-court,constitutional-council,1000,407,593,0,-0.10999292332862665,0.10788192639030092,True
recency-weighted-15y,emergencyPressure-low,current-federal-court,weak-form-review,1000,0,1000,0,-0.21009320833508593,-0.036383162729799245,False
recency-weighted-15y,emergencyPressure-low,reasoned-emergency-review,constitutional-council,1000,855,145,0,-0.04048075723891442,0.13065747329119348,True
recency-weighted-15y,emergencyPressure-low,reasoned-emergency-review,weak-form-review,1000,0,1000,0,-0.15465958465446272,-0.017536830786223256,False
recency-weighted-15y,emergencyPressure-low,constitutional-council,weak-form-review,1000,0,1000,0,-0.26092191132040854,-0.020258156173474706,False
recency-weighted-15y,emergencyPressure-high,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.46258662449559673,-0.024449322335449164,False
recency-weighted-15y,emergencyPressure-high,current-federal-court,constitutional-council,1000,69,931,0,-0.26751640476961835,0.07180309994506107,True
recency-weighted-15y,emergencyPressure-high,current-federal-court,weak-form-review,1000,0,1000,0,-0.34184804532898705,-0.06237767458467586,False
recency-weighted-15y,emergencyPressure-high,reasoned-emergency-review,constitutional-council,1000,1000,0,0,0.03166318166572013,0.22173590536838905,False
recency-weighted-15y,emergencyPressure-high,reasoned-emergency-review,weak-form-review,1000,639,361,0,-0.09465326373931682,0.14430278110480887,True
recency-weighted-15y,emergencyPressure-high,constitutional-council,weak-form-review,1000,0,1000,0,-0.23370561160092457,-0.012080896029845634,False
recency-weighted-15y,rightsThreatRate-low,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.21845365233416003,-0.011817760400934074,False
recency-weighted-15y,rightsThreatRate-low,current-federal-court,constitutional-council,1000,133,867,0,-0.19178424066851185,0.07243545349495256,True
recency-weighted-15y,rightsThreatRate-low,current-federal-court,weak-form-review,1000,0,1000,0,-0.24504011352955568,-0.054219594215702105,False
recency-weighted-15y,rightsThreatRate-low,reasoned-emergency-review,constitutional-council,1000,998,2,0,-0.003924894674228074,0.14123628534025906,True
recency-weighted-15y,rightsThreatRate-low,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.12903216908914072,0.008557800223520706,True
recency-weighted-15y,rightsThreatRate-low,constitutional-council,weak-form-review,1000,0,1000,0,-0.24393439070860318,-0.015504290995689618,False
recency-weighted-15y,rightsThreatRate-high,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.2064660385898769,-0.011299632793485781,False
recency-weighted-15y,rightsThreatRate-high,current-federal-court,constitutional-council,1000,159,841,0,-0.15853446013951344,0.07591890919971139,True
recency-weighted-15y,rightsThreatRate-high,current-federal-court,weak-form-review,1000,0,1000,0,-0.2839225004432502,-0.06291113095668932,False
recency-weighted-15y,rightsThreatRate-high,reasoned-emergency-review,constitutional-council,1000,982,18,0,-0.01791942547756742,0.1408459835255007,True
recency-weighted-15y,rightsThreatRate-high,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.1764251874017435,0.008222325309362732,True
recency-weighted-15y,rightsThreatRate-high,constitutional-council,weak-form-review,1000,0,1000,0,-0.28968058559765686,-0.02205191552458874,False
recency-weighted-15y,appointmentPolarization-low,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.19465386548499064,-0.01121095890464352,False
recency-weighted-15y,appointmentPolarization-low,current-federal-court,constitutional-council,1000,129,871,0,-0.188537413053532,0.06978609176355843,True
recency-weighted-15y,appointmentPolarization-low,current-federal-court,weak-form-review,1000,0,1000,0,-0.26339176325677094,-0.057479100266256467,False
recency-weighted-15y,appointmentPolarization-low,reasoned-emergency-review,constitutional-council,1000,962,38,0,-0.019736014666568158,0.13986910676179154,True
recency-weighted-15y,appointmentPolarization-low,reasoned-emergency-review,weak-form-review,1000,1,999,0,-0.14218940703731142,0.006784465949180474,True
recency-weighted-15y,appointmentPolarization-low,constitutional-council,weak-form-review,1000,0,1000,0,-0.2575294789934888,-0.018832440975777853,False
recency-weighted-15y,appointmentPolarization-high,current-federal-court,reasoned-emergency-review,1000,0,1000,0,-0.19506715126109253,-0.011245033556450457,False
recency-weighted-15y,appointmentPolarization-high,current-federal-court,constitutional-council,1000,125,875,0,-0.17950623550250278,0.06906049036212109,True
recency-weighted-15y,appointmentPolarization-high,current-federal-court,weak-form-review,1000,0,1000,0,-0.2700571154458301,-0.058890756900174646,False
