caseKey,caseName,caseDescription,scenarioKey,scenario,segmentType,segmentKey,metric,estimate,lower95,upper95,n,method
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,1,courtSize,9.000,6.540,11.460,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,1,medianIdeology,0.072,-0.147,0.290,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,1,ideologicalSpread,1.389,1.187,1.591,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,1,meanPartisanAttachment,0.639,0.534,0.745,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,1,meanRightsSensitivity,0.704,0.604,0.804,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,1,meanInstitutionalism,0.798,0.710,0.886,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,1,replacementPressure,0.000,0.000,0.044,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,1,estimatedReplacementEvents,0.000,0.000,0.789,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,2,courtSize,9.000,6.540,11.460,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,2,medianIdeology,0.074,-0.144,0.293,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,2,ideologicalSpread,1.399,1.198,1.600,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,2,meanPartisanAttachment,0.638,0.533,0.743,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,2,meanRightsSensitivity,0.706,0.606,0.806,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,2,meanInstitutionalism,0.796,0.708,0.884,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,2,replacementPressure,0.145,0.068,0.222,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,2,estimatedReplacementEvents,1.307,0.283,2.330,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,3,courtSize,9.000,6.540,11.460,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,3,medianIdeology,0.074,-0.144,0.293,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,3,ideologicalSpread,1.392,1.190,1.594,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,3,meanPartisanAttachment,0.640,0.535,0.745,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,3,meanRightsSensitivity,0.705,0.605,0.805,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,3,meanInstitutionalism,0.796,0.708,0.884,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,3,replacementPressure,0.145,0.068,0.222,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,3,estimatedReplacementEvents,1.307,0.283,2.330,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,4,courtSize,9.000,6.540,11.460,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,4,medianIdeology,0.066,-0.153,0.284,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,4,ideologicalSpread,1.369,1.166,1.573,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,4,meanPartisanAttachment,0.640,0.534,0.745,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,4,meanRightsSensitivity,0.704,0.604,0.804,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,4,meanInstitutionalism,0.796,0.708,0.885,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,4,replacementPressure,0.145,0.068,0.222,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,period,4,estimatedReplacementEvents,1.307,0.283,2.330,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,1,courtSize,9.000,6.540,11.460,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,1,medianIdeology,0.037,-0.182,0.256,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,1,ideologicalSpread,1.436,1.238,1.633,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,1,meanPartisanAttachment,0.619,0.512,0.725,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,1,meanRightsSensitivity,0.705,0.605,0.805,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,1,meanInstitutionalism,0.782,0.692,0.873,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,1,replacementPressure,0.000,0.000,0.044,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,1,estimatedReplacementEvents,0.000,0.000,0.789,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,2,courtSize,9.000,6.540,11.460,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,2,medianIdeology,0.013,-0.207,0.232,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,2,ideologicalSpread,1.395,1.194,1.596,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,2,meanPartisanAttachment,0.620,0.513,0.726,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,2,meanRightsSensitivity,0.706,0.607,0.806,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,2,meanInstitutionalism,0.779,0.688,0.870,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,2,replacementPressure,0.362,0.257,0.467,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,2,estimatedReplacementEvents,3.258,1.739,4.777,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,3,courtSize,9.000,6.540,11.460,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,3,medianIdeology,0.017,-0.202,0.236,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,3,ideologicalSpread,1.393,1.192,1.595,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,3,meanPartisanAttachment,0.623,0.517,0.729,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,3,meanRightsSensitivity,0.708,0.608,0.807,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,3,meanInstitutionalism,0.781,0.690,0.872,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,3,replacementPressure,0.362,0.257,0.467,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,3,estimatedReplacementEvents,3.258,1.739,4.777,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,4,courtSize,9.000,6.540,11.460,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,4,medianIdeology,0.025,-0.194,0.244,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,4,ideologicalSpread,1.373,1.169,1.576,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,4,meanPartisanAttachment,0.618,0.511,0.724,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,4,meanRightsSensitivity,0.707,0.607,0.807,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,4,meanInstitutionalism,0.781,0.690,0.871,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,4,replacementPressure,0.362,0.257,0.467,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,period,4,estimatedReplacementEvents,3.258,1.739,4.777,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,1,courtSize,15.000,12.060,17.940,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,1,medianIdeology,0.007,-0.213,0.226,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,1,ideologicalSpread,0.805,0.590,1.020,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,1,meanPartisanAttachment,0.532,0.422,0.641,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,1,meanRightsSensitivity,0.734,0.637,0.831,80,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,fifteen-justice-commission,Fifteen-justice supermajority commission court,period,1,meanInstitutionalism,0.779,0.688,0.870,80,conservative-bounded-normal-95
