caseKey,caseName,caseDescription,scenarioKey,scenario,metric,estimate,lower95,upper95,n,method
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,directionalScore,0.551,0.539,0.563,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,legalStability,0.791,0.781,0.801,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,rightsProtection,0.685,0.674,0.697,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,partisanAlignment,0.201,0.192,0.211,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,shadowDocketAbuse,0.364,0.352,0.376,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,legitimacy,0.582,0.570,0.594,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,reversalRate,0.268,0.257,0.279,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,reviewRate,1.000,0.995,1.000,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,intakeAcceptanceRate,0.021,0.021,0.022,298025,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,emergencyReliefRate,0.675,0.658,0.692,2820,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,emergencyReasonGivingRate,0.020,0.013,0.028,2820,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,emergencyVoteDisclosureRate,0.358,0.340,0.375,2820,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,emergencyPublicDisagreementRate,0.553,0.534,0.571,2820,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,governmentEmergencyWinRate,0.658,0.641,0.676,2820,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,meritsFollowUpRate,0.000,0.000,0.007,2820,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,meritsInvalidationRate,0.479,0.463,0.496,3580,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,constitutionalConflict,0.343,0.331,0.355,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,democraticResponsiveness,0.406,0.394,0.418,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,complianceRate,0.338,0.326,0.349,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,publicTrust,0.026,0.021,0.031,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,administrativeLoad,0.483,0.471,0.496,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,directCourtCost,0.306,0.295,0.318,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,upstreamScreeningCost,0.695,0.684,0.707,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,capacityStrainCost,0.422,0.410,0.434,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,institutionalBudgetCost,0.380,0.369,0.392,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,institutionalDelayCost,0.438,0.425,0.450,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,implementationComplexity,0.434,0.422,0.446,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,current-federal-court,Current-style federal supreme court,totalInstitutionalCost,0.453,0.441,0.465,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,directionalScore,0.566,0.554,0.578,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,legalStability,0.800,0.791,0.810,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,rightsProtection,0.693,0.682,0.705,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,partisanAlignment,0.184,0.175,0.194,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,shadowDocketAbuse,0.362,0.350,0.373,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,legitimacy,0.591,0.579,0.603,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,reversalRate,0.239,0.229,0.250,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,reviewRate,1.000,0.995,1.000,6400,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,intakeAcceptanceRate,0.021,0.021,0.022,297862,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,emergencyReliefRate,0.628,0.611,0.646,2845,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,emergencyReasonGivingRate,0.034,0.027,0.042,2845,conservative-bounded-normal-95
baseline,Baseline,Baseline assumptions for sensitivity comparison.,eighteen-year-terms,Staggered 18-year nonrenewable terms,emergencyVoteDisclosureRate,0.396,0.378,0.414,2845,conservative-bounded-normal-95
